id,name,icon,color,reference_price,display_order,weight
11100103,Short grain rice,fa-bowl-rice,#2563eb,145.0,1,25 kg
11100107,Long grain rice,fa-bowl-rice,#16a34a,37.0,2,5 kg
11100301,Kamaj bread,fa-bread-slice,#dc2626,4.5,3,1 kg
11210102,Fresh veal,fa-cow,#f59e0b,60.0,4,1 kg
11210201,Frozen veal,fa-cow,#7c3aed,35.0,5,1 kg
11220102,Chicken,fa-drumstick-bite,#0891b2,17.0,6,1 kg
11420303,White lamb cheese,fa-sheep,#be123c,24.0,7,1 kg
11420308,Cow cheese,fa-cow,#4b5563,0.0,8,1 ounce - 250 g
11430001,Chicken eggs,fa-drumstick-bite,#2563eb,20.0,8,2 kg
11510203,Corn oil,fa-oil-can,#16a34a,28.0,9,3 liters
11510204,Sunflower oil,fa-oil-can,#dc2626,22.0,10,3 liters
11520101,Vegetable ghee,fa-butter,#f59e0b,21.0,11,1 kg
11800105,Sugar,fa-cubes-stacked,#7c3aed,35.0,12,10 kg
11800202,Halva,fa-candy-cane,#0891b2,20.0,13,1 kg
11930206,Tahini,fa-bowl-food,#be123c,20.0,14,1 kg
11100604,Qatayef,fa-cookie-bite,#4b5563,11.0,15,1 kg
11101301,Freekeh,fa-seedling,#2563eb,10.0,16,1 kg
11740201,Cracked lentils,fa-seedling,#16a34a,8.0,17,1 kg
11740302,Chickpeas,fa-seedling,#dc2626,8.0,18,1 kg
11210107,Fresh lamb,fa-sheep,#f59e0b,90.0,19,1 kg
11210203,Frozen lamb,fa-sheep,#7c3aed,45.0,20,1 kg
11420105,Yogurt,fa-mug-hot,#0891b2,20.0,21,4 kg
11101101,Semolina (type A),fa-wheat-awn,#be123c,0.0,23,1 kg
11620302,Medjool dates (long grain),fa-pagelines,#4b5563,0.0,24,1 kg
11620303,Ajwa,fa-pagelines,#2563eb,0.0,25,1 kg
